"subject","depth_pct","analysis"
"V06",0.986241400875547,"a_three_flat"
"V07",0.983383685800604,"a_three_flat"
"V08",0.995695839311334,"a_three_flat"
"V09",0.998003992015968,"a_three_flat"
"V10",0.976623376623377,"a_three_flat"
"V11",0.784530386740331,"a_three_flat"
"V12",0.984228971962617,"a_three_flat"
"V15",0.185826771653543,"a_three_flat"
"V16",0.985116279069767,"a_three_flat"
"V17",0.923076923076923,"a_three_flat"
"V18",0.910430839002268,"a_three_flat"
"V20",0.796208530805687,"a_three_flat"
"V22",0.99713672154617,"a_three_flat"
"V23",0.979206049149338,"a_three_flat"
"V01",0.978605049208387,"a_four"
"V02",0.990083300277668,"a_four"
"V03",0.954347826086957,"a_four"
"V04",0.943965517241379,"a_four"
"V05",0.951127819548872,"a_four"
"V06",0.991751897063675,"a_four"
"V07",0.992176870748299,"a_four"
"V08",0.994957983193277,"a_four"
"V09",0.987158908507223,"a_four"
"V10",0.980852915578764,"a_four"
"V11",0.827280779450841,"a_four"
"V12",0.997371495327103,"a_four"
"V15",0.00689655172413793,"a_four"
"V16",0.980411361410382,"a_four"
"V17",0.987341772151899,"a_four"
"V18",0.975214972180071,"a_four"
"V20",0.947058823529412,"a_four"
"V22",0.991449814126394,"a_four"
"V23",0.992130115424974,"a_four"
"V01",0.98359161349134,"a_four_flat"
"V02",0.997666277712952,"a_four_flat"
"V03",0.971204188481675,"a_four_flat"
"V04",0.93970893970894,"a_four_flat"
"V05",0.974235807860262,"a_four_flat"
"V06",0.99249530956848,"a_four_flat"
"V07",0.991943605236657,"a_four_flat"
"V08",0.998565279770445,"a_four_flat"
"V09",0.99001996007984,"a_four_flat"
"V10",0.994805194805195,"a_four_flat"
"V11",0.830307813733228,"a_four_flat"
"V12",0.997663551401869,"a_four_flat"
"V15",0.0020997375328084,"a_four_flat"
"V16",0.973023255813953,"a_four_flat"
"V17",0.865384615384615,"a_four_flat"
"V18",0.964852607709751,"a_four_flat"
"V20",0.922985781990521,"a_four_flat"
"V22",0.992125984251969,"a_four_flat"
"V23",0.994328922495274,"a_four_flat"
