"subject","enhanced_speed","hrm_step_length","hrm_vertical_oscillation","stryd_leg_spring_stiffness","stryd_stance_time","analysis"
"S036",0.999718349528235,1,0.976904661315308,0.988874806365301,0.998591747641177,"a_one_flat"
"S037",0.853057428504999,0.840734712857475,0.954894210648686,0.826784468728203,0.894210648686352,"a_one_flat"
"S038",0.988857938718663,0.920077137347332,0.844653953289051,0.0578530104992501,0.893079065781016,"a_one_flat"
"S039",0.992560068301012,0.993169898768142,0.73533357726552,0.997194779851201,0.977070374435907,"a_one_flat"
"S041",0.996467124631992,0.971736997055937,0.943866535819431,0.155250245338567,0.993130520117762,"a_one_flat"
"S042",0.994049305752338,0.982998016435251,0.516860300368376,0.777840748087277,0.986115046755455,"a_one_flat"
"S043",0.979420731707317,0.980030487804878,0.986890243902439,0.565091463414634,0.99359756097561,"a_one_flat"
"S044",0.998787477954145,0.983575837742504,0.241071428571429,0.749559082892416,0.998567019400353,"a_one_flat"
"S045",0.999331439077386,0.996490055156276,0.036770850743774,0.700651846899549,0.999665719538693,"a_one_flat"
"S046",0.938745603751465,0.962192262602579,0.498827667057444,0.29088511137163,0.993698710433763,"a_one_flat"
"S047",0.996305600709325,0.98714349046845,0.68331609280331,0.355992315649475,0.994680065021427,"a_one_flat"
"S048",0.997721354166667,0.987630208333333,0.571126302083333,0.826985677083333,0.992024739583333,"a_one_flat"
"S049",0.954,0.924285714285714,0.728571428571429,0.134285714285714,0.586857142857143,"a_one_flat"
"S050",0.879791526563551,0.711163416274378,0.802286482851379,0.848352387357095,0.834566240753194,"a_one_flat"
"S051",0.922217187735992,0.903639933544782,0.338619543875547,0.615163872526809,0.920253738106026,"a_one_flat"
"S052",0.999634057087094,0.997072456696755,0.924981702854355,0.424859721883386,0.967553061722371,"a_one_flat"
"S053",0.991931656383484,0.992287612719506,0.926791646891315,0.977930707166588,0.909943046986236,"a_one_flat"
"S054",0.983247863247863,0.976752136752137,0.914700854700855,0.0292307692307692,0.929230769230769,"a_one_flat"
"S056",0.644915715062534,0.66721044045677,0.959216965742251,0.595976073953235,0.483414899401849,"a_one_flat"
"S057",0.95583543240974,0.951217464315701,0.960033585222502,0.385390428211587,0.941141897565071,"a_one_flat"
"S058",1,1,0.0260642919200695,0.862728062554301,0.997393570807993,"a_one_flat"
"S059",0.997602780774302,0.840704782452355,0.686084142394822,0.747572815533981,0.991489871748771,"a_one_flat"
"S060",0.963800592980763,0.928152795973247,0.848238295525064,0.531821002551196,0.895745707784596,"a_one_flat"
"M000",0.833420263398096,0.854348676489764,0.999739209805711,0.998304863737123,0.808905985134959,"a_two"
"S002v2",0.999485464368407,0.998585027013121,0.999742732184204,0.999099562644713,0.99794185747363,"a_two"
"S003",0.982274658912995,0.99748378438828,0.757940058152539,0.998769850145381,0.988649071796019,"a_two"
"S006",0.997130731065814,0.996592743140654,0.998266483352263,0.00920557116384721,0.99575587303485,"a_two"
"S009",0.966865281209127,0.958145618369423,0.996657462578114,0.998982706002035,0.97558494404883,"a_two"
"S010",0.96365318530267,0.997290510177108,0.998810467882633,0.998480042294475,0.998612212529738,"a_two"
"S013",0.997242945183263,0.99481024975673,0.743810141636934,0.997188885284896,0.987187804086928,"a_two"
"S014",0.868403015764222,0.822024217500571,0.998629198080877,1,0.855837331505597,"a_two"
"S015",0.999446596568899,0.987746066882758,0.999367538935884,0.91469681397739,0.973357577674124,"a_two"
"S016",0.999674054758801,0.998174706649283,0.790808344198175,0.997913950456323,0.998109517601043,"a_two"
"S017",0.998701660020403,0.996939627190949,0.993415561532041,0.672447370861541,0.993601038671984,"a_two"
"S018",0.999157540016849,0.999684077506318,0.511057287278854,0.998946925021062,0.99726200505476,"a_two"
"S019",1,0.99994263752653,0.935467217346412,0.999713187632651,0.997820226008145,"a_two"
"S020",0.999930901050304,0.999723604201216,0.996614151464898,0.99965450525152,0.996268656716418,"a_two"
"S021",0.999640374011029,0.998801246703428,0.997842244066171,0.999520498681371,0.996523615439943,"a_two"
"S022",1,0.985844985327119,1,0.999482133609529,0.996029691006387,"a_two"
"S023",0.998718277364778,0.99820558831069,0.997564726993079,0.9988464496283,0.998077416047167,"a_two"
"S025",0.998373689916877,0.993675460787857,0.0177087097940007,0.998373689916877,0.992591254065775,"a_two"
"S026",0.979552023121387,0.902384393063584,1,0.998121387283237,0.836271676300578,"a_two"
